Equipment_ID,Equipment_Name,Manufacturer,Hospital_Name,City,Quantity,Unit_Price,Total_Cost,Purchase_Date,Status
EQ0023,CT Scanner,MediCore,Fortis Hospital,Hyderabad,5,255354.79,1276773.95,2023-05-31,Under Maintenance
EQ0024,CT Scanner,PulseTech,BLK Hospital,Delhi,18,210308.22,3785547.96,2025-04-02,Under Maintenance
EQ0025,Infusion Pump,CareEquip,Max Healthcare,Pune,10,490543.29,4905432.9,2024-12-21,Under Maintenance
EQ0026,Ultrasound Device,MediCore,Fortis Hospital,Kolkata,4,161191.79,644767.16,2024-07-21,Out of Service
EQ0027,Defibrillator,NovaHealth,Max Healthcare,Bangalore,19,418746.78,7956188.82,2024-10-25,Operational
EQ0028,ECG Machine,BioMed,Manipal Hospital,Chennai,1,176563.14,176563.14,2024-02-15,Out of Service
EQ0029,ECG Machine,PulseTech,Fortis Hospital,Mumbai,5,156824.13,784120.65,2024-01-03,Out of Service
EQ0030,Patient Monitor,NovaHealth,BLK Hospital,Hyderabad,19,184557.37,3506590.03,2025-01-02,Out of Service
EQ0031,X-Ray Machine,NovaHealth,Manipal Hospital,Bangalore,2,224247.57,448495.14,2023-10-09,Operational
EQ0032,MRI Scanner,MedTech,AIIMS,Bangalore,17,405943.99,6901047.83,2024-09-22,Under Maintenance
EQ0033,X-Ray Machine,BioMed,Max Healthcare,Kolkata,14,34846.04,487844.56,2023-02-08,Operational
EQ0034,Patient Monitor,PulseTech,BLK Hospital,Delhi,6,58778.79,352672.74,2024-12-26,Operational
EQ0035,MRI Scanner,HealthPlus,Apollo Hospital,Kolkata,10,231145.25,2311452.5,2024-05-28,Out of Service
EQ0036,Patient Monitor,PulseTech,AIIMS,Pune,6,38076.26,228457.56,2023-05-28,Under Maintenance
EQ0037,MRI Scanner,MedTech,Max Healthcare,Hyderabad,18,142701.84,2568633.12,2025-01-16,Operational
EQ0038,Surgical Laser,MedTech,Medanta,Bangalore,15,35501.1,532516.5,2024-06-14,Operational
EQ0039,Defibrillator,MedTech,Medanta,Pune,14,261985.31,3667794.34,2023-08-09,Under Maintenance
EQ0040,Surgical Laser,MedTech,Apollo Hospital,Chennai,4,211898.35,847593.4,2024-12-12,Under Maintenance
EQ0041,Patient Monitor,MedTech,BLK Hospital,Chennai,16,147156.29,2354500.64,2025-02-17,Under Maintenance
EQ0042,X-Ray Machine,HealthPlus,Apollo Hospital,Mumbai,12,431228.97,5174747.64,2024-04-28,Under Maintenance
EQ0043,Patient Monitor,PulseTech,BLK Hospital,Delhi,2,346602.7,693205.4,2024-09-18,Operational
EQ0044,MRI Scanner,HealthPlus,Max Healthcare,Delhi,4,294216.79,1176867.16,2024-11-10,Operational
EQ0045,Infusion Pump,HealthPlus,Manipal Hospital,Pune,14,238057.16,3332800.24,2023-08-14,Out of Service
EQ0046,CT Scanner,BioMed,Fortis Hospital,Hyderabad,5,441704.7,2208523.5,2025-01-22,Operational
EQ0047,X-Ray Machine,MediCore,Fortis Hospital,Hyderabad,10,417314,4173140,2023-09-08,Operational
EQ0048,Infusion Pump,PulseTech,Apollo Hospital,Chennai,11,493733.49,5431068.39,2023-05-27,Under Maintenance
EQ0049,Surgical Laser,LifeCare,BLK Hospital,Chennai,8,65845.46,526763.68,2023-04-05,Out of Service
EQ0050,CT Scanner,CareEquip,BLK Hospital,Bangalore,2,423887.88,847775.76,2024-02-22,Under Maintenance
EQ0051,Defibrillator,MedTech,AIIMS,Kolkata,2,377680.63,755361.26,2024-03-16,Operational
EQ0052,MRI Scanner,NovaHealth,Manipal Hospital,Bangalore,11,370713.49,4077848.39,2024-07-31,Out of Service
EQ0053,Infusion Pump,MedTech,Apollo Hospital,Hyderabad,8,356756.46,2854051.68,2024-04-04,Operational
EQ0054,Patient Monitor,CareEquip,Medanta,Bangalore,1,404691.89,404691.89,2024-03-16,Operational
EQ0055,Infusion Pump,MedTech,Manipal Hospital,Bangalore,15,413774.68,6206620.2,2023-12-23,Operational
EQ0056,ECG Machine,HealthPlus,Apollo Hospital,Hyderabad,7,484412.44,3390887.08,2023-06-27,Operational
EQ0057,Infusion Pump,NovaHealth,Fortis Hospital,Hyderabad,14,396526.97,5551377.58,2024-11-13,Operational
EQ0058,CT Scanner,MediCore,Max Healthcare,Bangalore,6,328922.7,1973536.2,2025-03-09,Operational
EQ0059,Defibrillator,HealthPlus,Medanta,Pune,9,485776.47,4371988.23,2025-01-13,Out of Service
EQ0060,Defibrillator,MediCore,Apollo Hospital,Mumbai,17,360413.98,6127037.66,2024-06-15,Operational
EQ0061,Ultrasound Device,CareEquip,BLK Hospital,Chennai,19,45605.39,866502.41,2023-01-24,Under Maintenance
EQ0062,Patient Monitor,MediCore,BLK Hospital,Hyderabad,16,159538.75,2552620,2025-04-18,Under Maintenance
EQ0063,CT Scanner,CareEquip,Medanta,Mumbai,12,442639.12,5311669.44,2024-12-04,Under Maintenance
EQ0064,X-Ray Machine,CareEquip,AIIMS,Chennai,19,372278.61,7073293.59,2023-11-22,Operational
EQ0065,MRI Scanner,NovaHealth,Max Healthcare,Chennai,10,215542.81,2155428.1,2023-05-15,Operational
EQ0066,Defibrillator,HealthPlus,AIIMS,Bangalore,11,404076.62,4444842.82,2023-03-28,Under Maintenance
EQ0067,Ventilator,NovaHealth,Max Healthcare,Bangalore,8,198372.97,1586983.76,2023-02-20,Operational
EQ0068,Infusion Pump,LifeCare,Fortis Hospital,Chennai,8,143318.35,1146546.8,2023-03-19,Out of Service
EQ0069,Defibrillator,NovaHealth,AIIMS,Chennai,10,424441.74,4244417.4,2023-11-23,Operational
EQ0070,Defibrillator,HealthPlus,AIIMS,Hyderabad,9,207771.67,1869945.03,2023-03-14,Under Maintenance
EQ0071,X-Ray Machine,NovaHealth,Fortis Hospital,Delhi,17,488693.09,8307782.53,2025-02-23,Operational
EQ0072,CT Scanner,MedTech,Apollo Hospital,Kolkata,1,284174.3,284174.3,2024-07-04,Out of Service
EQ0073,Ultrasound Device,NovaHealth,BLK Hospital,Chennai,9,182161.81,1639456.29,2024-06-05,Under Maintenance
EQ0074,MRI Scanner,BioMed,Fortis Hospital,Bangalore,4,13795.42,55181.68,2024-09-08,Under Maintenance
EQ0075,Defibrillator,MedTech,AIIMS,Delhi,18,192358.82,3462458.76,2023-01-01,Under Maintenance
EQ0076,Surgical Laser,PulseTech,AIIMS,Kolkata,14,372811.13,5219355.82,2023-11-15,Under Maintenance
EQ0077,X-Ray Machine,BioMed,AIIMS,Bangalore,8,51921.71,415373.68,2023-04-04,Out of Service
EQ0078,Ventilator,NovaHealth,BLK Hospital,Delhi,14,260714.14,3649997.96,2024-03-23,Under Maintenance
EQ0079,Ultrasound Device,MedTech,Manipal Hospital,Hyderabad,2,286167.28,572334.56,2023-07-18,Out of Service
EQ0080,ECG Machine,LifeCare,Max Healthcare,Hyderabad,12,277829.6,3333955.2,2025-01-02,Under Maintenance
EQ0081,X-Ray Machine,CareEquip,Fortis Hospital,Delhi,9,334044.16,3006397.44,2024-09-12,Operational
EQ0082,Ultrasound Device,MediCore,AIIMS,Chennai,9,462384.25,4161458.25,2023-11-10,Under Maintenance
EQ0083,Defibrillator,MediCore,Medanta,Delhi,14,280052.54,3920735.56,2023-11-04,Out of Service
EQ0084,Patient Monitor,CareEquip,Medanta,Pune,16,337615.81,5401852.96,2023-05-15,Under Maintenance
EQ0085,Ultrasound Device,NovaHealth,Apollo Hospital,Kolkata,2,373640.15,747280.3,2024-05-15,Under Maintenance
EQ0086,ECG Machine,BioMed,AIIMS,Pune,3,314542.15,943626.45,2024-06-09,Out of Service
EQ0087,ECG Machine,LifeCare,BLK Hospital,Pune,18,364523.53,6561423.54,2024-08-22,Operational
EQ0088,Ventilator,NovaHealth,Manipal Hospital,Delhi,5,129266.38,646331.9,2023-12-01,Operational
EQ0089,ECG Machine,PulseTech,AIIMS,Delhi,6,131251.32,787507.92,2024-07-04,Out of Service
EQ0090,Infusion Pump,BioMed,Manipal Hospital,Mumbai,19,354551.11,6736471.09,2024-10-23,Out of Service
EQ0091,X-Ray Machine,MediCore,AIIMS,Delhi,11,398544.54,4383989.94,2023-05-08,Operational
EQ0092,Defibrillator,MediCore,Fortis Hospital,Delhi,2,75822.51,151645.02,2025-01-08,Operational
EQ0093,Defibrillator,BioMed,Fortis Hospital,Chennai,11,221085.83,2431944.13,2024-12-16,Under Maintenance
EQ0094,X-Ray Machine,MediCore,Apollo Hospital,Kolkata,7,17258.52,120809.64,2025-04-01,Out of Service
EQ0095,CT Scanner,MediCore,BLK Hospital,Pune,13,121108.85,1574415.05,2023-05-31,Under Maintenance
EQ0096,MRI Scanner,NovaHealth,BLK Hospital,Kolkata,4,237788.16,951152.64,2023-10-09,Under Maintenance
EQ0097,X-Ray Machine,CareEquip,BLK Hospital,Kolkata,16,92658.5,1482536,2025-01-21,Operational
EQ0098,ECG Machine,MediCore,Max Healthcare,Bangalore,5,212300.23,1061501.15,2025-01-26,Out of Service
EQ0099,Patient Monitor,CareEquip,Apollo Hospital,Delhi,11,17390.12,191291.32,2023-08-27,Operational
EQ0100,Ultrasound Device,MediCore,Max Healthcare,Kolkata,13,377325.63,4905233.19,2025-02-27,Operational
EQ0101,Surgical Laser,MediCore,Max Healthcare,Hyderabad,4,383878.92,1535515.68,2024-07-20,Out of Service
EQ0102,CT Scanner,LifeCare,BLK Hospital,Chennai,12,208146.03,2497752.36,2024-03-02,Out of Service
EQ0103,Ultrasound Device,HealthPlus,Fortis Hospital,Bangalore,7,177672.12,1243704.84,2023-10-01,Out of Service
EQ0104,Ventilator,MedTech,Manipal Hospital,Pune,20,230271.51,4605430.2,2023-01-15,Operational
EQ0105,Ultrasound Device,PulseTech,Fortis Hospital,Bangalore,20,474331.2,9486624,2023-07-04,Operational
EQ0106,CT Scanner,BioMed,BLK Hospital,Bangalore,10,188605.43,1886054.3,2024-03-17,Out of Service
EQ0107,Surgical Laser,PulseTech,Apollo Hospital,Pune,9,16301.05,146709.45,2024-01-14,Operational
EQ0108,MRI Scanner,CareEquip,Max Healthcare,Pune,13,431836.75,5613877.75,2025-04-01,Out of Service
EQ0109,Ultrasound Device,NovaHealth,Medanta,Mumbai,9,256927.12,2312344.08,2023-11-15,Under Maintenance
EQ0110,Infusion Pump,CareEquip,Fortis Hospital,Hyderabad,14,117953.02,1651342.28,2023-11-10,Operational
EQ0111,Patient Monitor,BioMed,Medanta,Kolkata,3,446443.91,1339331.73,2025-02-07,Operational
EQ0112,Ventilator,MedTech,Fortis Hospital,Hyderabad,16,92480.99,1479695.84,2023-11-02,Under Maintenance
EQ0113,Surgical Laser,MedTech,Medanta,Mumbai,7,110387.37,772711.59,2023-08-24,Operational
EQ0114,Ultrasound Device,MediCore,AIIMS,Kolkata,11,475968.57,5235654.27,2023-06-01,Operational
EQ0115,CT Scanner,BioMed,AIIMS,Chennai,18,423202.27,7617640.86,2024-02-07,Out of Service
EQ0116,MRI Scanner,HealthPlus,AIIMS,Kolkata,3,140915.83,422747.49,2024-06-29,Operational
EQ0117,Ventilator,HealthPlus,BLK Hospital,Chennai,10,220362.76,2203627.6,2025-01-01,Out of Service
EQ0118,Surgical Laser,BioMed,Apollo Hospital,Hyderabad,19,147719.41,2806668.79,2024-01-05,Out of Service
EQ0119,CT Scanner,MedTech,Medanta,Mumbai,12,348513.51,4182162.12,2025-04-22,Operational
EQ0120,Ventilator,LifeCare,Apollo Hospital,Delhi,19,29682.79,563973.01,2024-04-03,Out of Service
EQ0121,MRI Scanner,PulseTech,Manipal Hospital,Bangalore,6,399944.58,2399667.48,2025-02-20,Out of Service
EQ0122,Defibrillator,NovaHealth,BLK Hospital,Chennai,11,289883.74,3188721.14,2023-07-10,Out of Service
EQ0123,CT Scanner,MediCore,Apollo Hospital,Chennai,12,245004.47,2940053.64,2024-12-07,Operational
EQ0124,ECG Machine,PulseTech,BLK Hospital,Mumbai,17,148245.78,2520178.26,2024-04-03,Under Maintenance
EQ0125,MRI Scanner,PulseTech,Apollo Hospital,Pune,8,78332.8,626662.4,2023-06-05,Under Maintenance
EQ0126,X-Ray Machine,PulseTech,Apollo Hospital,Hyderabad,12,279031.55,3348378.6,2024-05-17,Out of Service
EQ0127,ECG Machine,BioMed,AIIMS,Delhi,18,137219.21,2469945.78,2024-07-14,Under Maintenance
EQ0128,Surgical Laser,CareEquip,AIIMS,Delhi,1,259920.1,259920.1,2023-03-04,Under Maintenance
EQ0129,Ultrasound Device,NovaHealth,AIIMS,Mumbai,9,452807.07,4075263.63,2025-02-27,Out of Service
EQ0130,ECG Machine,LifeCare,Apollo Hospital,Delhi,15,360790.9,5411863.5,2023-04-06,Operational
EQ0131,Ultrasound Device,NovaHealth,Fortis Hospital,Hyderabad,16,306642.68,4906282.88,2024-02-19,Under Maintenance
EQ0132,Surgical Laser,LifeCare,Apollo Hospital,Mumbai,19,142248.13,2702714.47,2023-04-18,Out of Service
EQ0133,Surgical Laser,MediCore,Apollo Hospital,Chennai,17,347786.43,5912369.31,2024-04-06,Operational
EQ0134,Ultrasound Device,MedTech,Manipal Hospital,Pune,11,301097.08,3312067.88,2023-12-21,Under Maintenance
EQ0135,Infusion Pump,HealthPlus,Manipal Hospital,Chennai,15,45926.78,688901.7,2024-03-27,Out of Service
EQ0136,Infusion Pump,NovaHealth,Manipal Hospital,Delhi,14,483848.39,6773877.46,2023-05-16,Under Maintenance
EQ0137,MRI Scanner,BioMed,BLK Hospital,Mumbai,19,76533.12,1454129.28,2023-06-03,Out of Service
EQ0138,ECG Machine,NovaHealth,AIIMS,Chennai,5,13097.2,65486,2024-02-12,Operational
EQ0139,Infusion Pump,MedTech,AIIMS,Bangalore,5,167087.51,835437.55,2024-06-11,Out of Service
EQ0140,Surgical Laser,PulseTech,BLK Hospital,Mumbai,4,13038.18,52152.72,2024-06-20,Operational
EQ0141,X-Ray Machine,BioMed,Manipal Hospital,Pune,5,137010.84,685054.2,2024-02-10,Under Maintenance
EQ0142,Ultrasound Device,BioMed,Medanta,Hyderabad,19,143870.51,2733539.69,2024-07-11,Out of Service
EQ0143,Surgical Laser,CareEquip,AIIMS,Pune,16,56618.57,905897.12,2023-11-25,Out of Service
EQ0144,ECG Machine,MedTech,AIIMS,Pune,3,36982.57,110947.71,2023-02-13,Under Maintenance
EQ0145,Defibrillator,BioMed,AIIMS,Chennai,9,375086.33,3375776.97,2024-06-10,Operational
EQ0146,Ultrasound Device,MedTech,Fortis Hospital,Mumbai,1,55243.67,55243.67,2024-12-01,Out of Service
EQ0147,Patient Monitor,HealthPlus,Medanta,Chennai,9,307563.31,2768069.79,2025-02-19,Under Maintenance
EQ0148,MRI Scanner,MedTech,Medanta,Hyderabad,5,74650.06,373250.3,2023-07-24,Operational
EQ0149,CT Scanner,CareEquip,BLK Hospital,Delhi,10,356153.73,3561537.3,2025-04-02,Operational
EQ0150,ECG Machine,LifeCare,AIIMS,Pune,19,272674.54,5180816.26,2024-03-10,Out of Service
EQ0151,CT Scanner,HealthPlus,Manipal Hospital,Chennai,15,236505.51,3547582.65,2023-08-23,Operational
EQ0152,Ultrasound Device,MedTech,Fortis Hospital,Pune,13,429911.58,5588850.54,2024-01-02,Under Maintenance
EQ0153,ECG Machine,CareEquip,Max Healthcare,Hyderabad,10,73200.16,732001.6,2024-11-12,Under Maintenance
EQ0154,ECG Machine,HealthPlus,Max Healthcare,Kolkata,1,319530.02,319530.02,2023-12-31,Operational
EQ0155,Ultrasound Device,NovaHealth,Manipal Hospital,Chennai,6,219614.45,1317686.7,2023-07-16,Operational
EQ0156,Infusion Pump,LifeCare,Medanta,Delhi,16,387020.34,6192325.44,2024-04-21,Under Maintenance
EQ0157,X-Ray Machine,MedTech,AIIMS,Hyderabad,7,350963.05,2456741.35,2025-04-23,Under Maintenance
EQ0158,X-Ray Machine,LifeCare,AIIMS,Mumbai,12,232262.89,2787154.68,2023-09-01,Operational
EQ0159,Patient Monitor,HealthPlus,Fortis Hospital,Kolkata,6,317344.64,1904067.84,2023-02-05,Out of Service
EQ0160,Surgical Laser,MedTech,Manipal Hospital,Hyderabad,10,486786.09,4867860.9,2025-04-04,Operational
EQ0161,ECG Machine,NovaHealth,Max Healthcare,Bangalore,8,359530.5,2876244,2023-06-02,Out of Service
EQ0162,CT Scanner,NovaHealth,BLK Hospital,Mumbai,9,103719.37,933474.33,2023-04-24,Operational
EQ0163,ECG Machine,LifeCare,Max Healthcare,Mumbai,6,491978.74,2951872.44,2024-06-03,Under Maintenance
EQ0164,CT Scanner,MediCore,Max Healthcare,Pune,18,262717.64,4728917.52,2024-04-24,Out of Service
EQ0165,Patient Monitor,CareEquip,Manipal Hospital,Pune,10,45587.85,455878.5,2023-06-29,Out of Service
EQ0166,Surgical Laser,PulseTech,Apollo Hospital,Bangalore,2,331266.82,662533.64,2023-02-09,Operational
EQ0167,Infusion Pump,MedTech,Fortis Hospital,Kolkata,12,293499.56,3521994.72,2023-03-05,Out of Service
EQ0168,Infusion Pump,HealthPlus,Fortis Hospital,Pune,18,47095.22,847713.96,2023-09-30,Operational
EQ0169,Defibrillator,NovaHealth,Max Healthcare,Chennai,20,328002.4,6560048,2023-05-04,Under Maintenance
EQ0170,MRI Scanner,MedTech,Max Healthcare,Bangalore,7,467759.48,3274316.36,2024-10-05,Under Maintenance
EQ0171,Ventilator,HealthPlus,AIIMS,Pune,12,29165.98,349991.76,2024-03-07,Operational
EQ0172,Surgical Laser,NovaHealth,Medanta,Delhi,8,430917.36,3447338.88,2025-01-26,Under Maintenance
EQ0173,Patient Monitor,MedTech,Fortis Hospital,Hyderabad,8,484908.32,3879266.56,2025-01-05,Out of Service
EQ0174,MRI Scanner,BioMed,Fortis Hospital,Pune,15,87907.35,1318610.25,2023-06-09,Under Maintenance
EQ0175,MRI Scanner,MedTech,Max Healthcare,Pune,9,359264.36,3233379.24,2024-03-05,Operational
EQ0176,Patient Monitor,PulseTech,BLK Hospital,Hyderabad,1,396059.16,396059.16,2024-09-27,Under Maintenance
EQ0177,MRI Scanner,NovaHealth,Medanta,Delhi,11,489220.91,5381430.01,2024-09-02,Operational
EQ0178,Infusion Pump,PulseTech,Apollo Hospital,Chennai,19,437836.04,8318884.76,2024-01-04,Out of Service
EQ0179,Defibrillator,LifeCare,Medanta,Pune,4,257332.96,1029331.84,2023-11-27,Under Maintenance
EQ0180,ECG Machine,PulseTech,Medanta,Hyderabad,15,67039.84,1005597.6,2023-09-16,Operational
EQ0181,Surgical Laser,PulseTech,BLK Hospital,Delhi,4,255894.57,1023578.28,2024-06-30,Out of Service
EQ0182,MRI Scanner,HealthPlus,Fortis Hospital,Bangalore,3,325738.66,977215.98,2024-11-19,Out of Service
EQ0183,CT Scanner,CareEquip,Manipal Hospital,Hyderabad,12,259768.28,3117219.36,2023-06-24,Out of Service
EQ0184,Surgical Laser,NovaHealth,Fortis Hospital,Hyderabad,15,89285.07,1339276.05,2025-03-25,Out of Service
EQ0185,X-Ray Machine,HealthPlus,Max Healthcare,Bangalore,5,120909.1,604545.5,2023-06-29,Operational
EQ0186,Infusion Pump,BioMed,Medanta,Pune,3,450149.52,1350448.56,2023-09-12,Out of Service
EQ0187,Defibrillator,CareEquip,BLK Hospital,Chennai,16,300297.9,4804766.4,2024-06-15,Out of Service
EQ0188,Ultrasound Device,NovaHealth,Apollo Hospital,Bangalore,7,399243.8,2794706.6,2023-04-11,Under Maintenance
EQ0189,Ventilator,BioMed,Max Healthcare,Hyderabad,6,493275.7,2959654.2,2024-10-27,Under Maintenance
EQ0190,Surgical Laser,CareEquip,Max Healthcare,Mumbai,13,341892.94,4444608.22,2024-07-17,Operational
EQ0191,CT Scanner,NovaHealth,Max Healthcare,Kolkata,1,183442.15,183442.15,2023-01-05,Under Maintenance
EQ0192,Defibrillator,MedTech,BLK Hospital,Bangalore,10,330227.52,3302275.2,2023-09-20,Out of Service
EQ0193,Ventilator,PulseTech,Apollo Hospital,Chennai,12,390691.61,4688299.32,2024-01-20,Under Maintenance
EQ0194,CT Scanner,LifeCare,Manipal Hospital,Chennai,12,94369.18,1132430.16,2024-09-23,Operational
EQ0195,Patient Monitor,LifeCare,Apollo Hospital,Pune,11,462962.16,5092583.76,2025-03-10,Operational
EQ0196,X-Ray Machine,MediCore,Max Healthcare,Hyderabad,5,288601.74,1443008.7,2023-10-29,Operational
EQ0197,CT Scanner,CareEquip,Manipal Hospital,Kolkata,14,291232.59,4077256.26,2023-05-19,Out of Service
EQ0198,MRI Scanner,NovaHealth,Max Healthcare,Mumbai,15,212733.65,3191004.75,2025-04-18,Under Maintenance
EQ0199,MRI Scanner,MediCore,Medanta,Mumbai,4,14276.29,57105.16,2024-07-14,Out of Service
EQ0200,MRI Scanner,PulseTech,Manipal Hospital,Pune,16,357931.35,5726901.6,2023-11-13,Out of Service
EQ0201,Patient Monitor,CareEquip,Max Healthcare,Hyderabad,18,174068.26,3133228.68,2023-01-18,Operational
EQ0202,Ventilator,CareEquip,BLK Hospital,Kolkata,14,197422.59,2763916.26,2024-09-14,Out of Service
EQ0203,Patient Monitor,CareEquip,Manipal Hospital,Mumbai,5,361299.76,1806498.8,2023-07-21,Under Maintenance
EQ0204,Surgical Laser,MediCore,Fortis Hospital,Bangalore,18,22770.67,409872.06,2024-05-15,Out of Service
EQ0205,Ultrasound Device,BioMed,BLK Hospital,Mumbai,9,331674.49,2985070.41,2023-12-30,Out of Service
EQ0206,Patient Monitor,MediCore,AIIMS,Hyderabad,12,291633.52,3499602.24,2024-02-15,Under Maintenance
EQ0207,Ultrasound Device,CareEquip,BLK Hospital,Mumbai,12,183338.95,2200067.4,2024-02-03,Out of Service
EQ0208,Surgical Laser,BioMed,BLK Hospital,Delhi,19,216044.27,4104841.13,2024-02-18,Under Maintenance
EQ0209,ECG Machine,HealthPlus,AIIMS,Mumbai,8,189941.34,1519530.72,2023-08-10,Out of Service
EQ0210,MRI Scanner,MediCore,Max Healthcare,Hyderabad,7,59232.96,414630.72,2023-12-23,Operational
EQ0211,Infusion Pump,MedTech,BLK Hospital,Kolkata,19,349540.19,6641263.61,2024-08-02,Out of Service
EQ0212,ECG Machine,MediCore,AIIMS,Mumbai,13,68281.59,887660.67,2024-07-19,Out of Service
EQ0213,Ventilator,CareEquip,Manipal Hospital,Pune,10,492539.8,4925398,2023-05-18,Under Maintenance
EQ0214,Ventilator,MedTech,Apollo Hospital,Pune,1,478138.18,478138.18,2024-06-07,Out of Service
EQ0215,X-Ray Machine,BioMed,Manipal Hospital,Bangalore,4,182672.2,730688.8,2023-06-11,Operational
EQ0216,Surgical Laser,MedTech,Medanta,Chennai,8,307263.6,2458108.8,2023-02-09,Out of Service
EQ0217,Patient Monitor,LifeCare,Manipal Hospital,Bangalore,13,282740.6,3675627.8,2023-12-31,Out of Service
EQ0218,Surgical Laser,LifeCare,BLK Hospital,Hyderabad,10,90645.73,906457.3,2025-01-11,Under Maintenance
EQ0219,CT Scanner,CareEquip,Fortis Hospital,Mumbai,12,5511.28,66135.36,2024-08-31,Out of Service
EQ0220,Surgical Laser,LifeCare,Apollo Hospital,Mumbai,8,454820.31,3638562.48,2023-06-09,Under Maintenance
EQ0221,Patient Monitor,MedTech,AIIMS,Hyderabad,20,161240.72,3224814.4,2024-01-06,Out of Service
EQ0222,Infusion Pump,CareEquip,Fortis Hospital,Kolkata,19,350316.47,6656012.93,2024-09-29,Under Maintenance
EQ0223,Surgical Laser,BioMed,Apollo Hospital,Bangalore,20,463553.3,9271066,2023-04-23,Under Maintenance
EQ0224,MRI Scanner,HealthPlus,AIIMS,Hyderabad,6,256734.38,1540406.28,2023-07-04,Out of Service
EQ0225,X-Ray Machine,MediCore,Fortis Hospital,Chennai,19,34076.09,647445.71,2024-09-21,Out of Service
EQ0226,ECG Machine,MedTech,Fortis Hospital,Chennai,19,313606.25,5958518.75,2024-12-07,Out of Service
EQ0227,ECG Machine,HealthPlus,Apollo Hospital,Delhi,13,255108.33,3316408.29,2023-01-08,Operational
EQ0228,Ventilator,LifeCare,BLK Hospital,Chennai,19,493440.46,9375368.74,2023-08-20,Out of Service
EQ0229,Ventilator,CareEquip,Apollo Hospital,Hyderabad,18,473191.48,8517446.64,2024-11-12,Under Maintenance
EQ0230,Infusion Pump,BioMed,Fortis Hospital,Chennai,19,105510.71,2004703.49,2024-07-28,Operational
EQ0231,ECG Machine,MediCore,Max Healthcare,Hyderabad,3,364684.79,1094054.37,2023-09-11,Under Maintenance
EQ0232,Surgical Laser,HealthPlus,Manipal Hospital,Pune,17,157368.18,2675259.06,2024-05-25,Out of Service
EQ0233,Surgical Laser,MedTech,Apollo Hospital,Chennai,6,27431.72,164590.32,2023-03-25,Out of Service
EQ0234,Infusion Pump,CareEquip,Medanta,Mumbai,6,115584.3,693505.8,2023-10-21,Under Maintenance
EQ0235,ECG Machine,HealthPlus,AIIMS,Mumbai,1,448430.79,448430.79,2024-03-28,Out of Service
EQ0236,X-Ray Machine,LifeCare,AIIMS,Kolkata,6,382976.39,2297858.34,2023-07-17,Operational
EQ0237,MRI Scanner,MediCore,Fortis Hospital,Delhi,15,43956.62,659349.3,2024-07-24,Under Maintenance
